cmdLabel,cmdVar,csharpLabel,csharpVar,csharpFile
INIT,%RC%,INIT,rc
READ_PARAMS,%PARAM_FILE%,READ_PARAMS,paramFile
CHECK_INPUT,%INPUT_FILE%,CHECK_INPUT,inputFile
CHECK_INPUT,%RC%,CHECK_INPUT,rc
CHECK_INPUT,"if ""%RC%"" NEQ ""0""",CHECK_INPUT,rc != 0
VALIDATE_HEADER,%HDR_OK%,VALIDATE_HEADER,headerOk
VALIDATE_DETAIL,%LINE_CNT%,VALIDATE_DETAIL,lineCount
CALC_TAX,%TAX%,CALC_TAX,tax
CALC_TOTAL,%TOTAL%,CALC_TOTAL,total
APPLY_DISCOUNT,%DISC%,APPLY_DISCOUNT,discount
WRITE_OUTPUT,%OUT_FILE%,WRITE_OUTPUT,outFile
HANDLE_ERROR,%RC%,HANDLE_ERROR,rc
CLEANUP,%RC%,CLEANUP,rc
END_PROC,%RC%,END_PROC,rc
RECALC,%AMT%,RECALC,amount,Steps.cs
AUDIT_LOG,%MSG%,AUDIT_LOG,message,Steps.cs
ROLLBACK,%RC%,ROLLBACK,rc,Steps.cs
TEXT_URL,%URL%,TEXT_URL,url
TRICK_RAW,%RAW_JSON%,TRICK_RAW,rawJson
NAME_SET,%RC%,NAME_SET,rc
MEMBER_ARRAY,%SLOT0%,MEMBER_ARRAY,slots[0]
MEMBER_DICT,%MAP_RC%,MEMBER_DICT,"map[""rc""]"
MEMBER_PROP,%BOX_RC%,MEMBER_PROP,box.Rc
OPER_COMPOUND,%OP_ACC%,OPER_COMPOUND,opAcc
WRAP_SUM,%GRAND%,WRAP_SUM,grand
SHAPE_INLINE,%STAGE%,SHAPE_INLINE,stage
LOOP_FOR,%SUM%,LOOP_FOR,sum
IF_SAME_LINE,"if ""%RETRY%"" NEQ ""0""",IF_SAME_LINE,retry != 0
